,Unnamed: 0,address,Total Score,UST_DEPOSITED
0,263,terra100d87dhfca4x023yphu0qfslwnn0vmhgxqpdy3,28,25.0
1,703,terra100xy3jd787uyxafx3nw02qleq7lk7lu9rt595e,6,1889.0
2,977,terra102af7a4l2hcmt8g5hn3sgdej77mnte47v6zwte,21,24.0
3,992,terra102c6vvss90gr2rudnzg0al77srs5k9tkdx3wun,16,3008.0
4,1177,terra102lf52uzkgqhz03rmnupy6qf50qt6xflyag9zm,4,5690.41
5,1207,terra102mt534xw9kxwggqlwcegn3pyzy80p5u3g9h5y,11,96.0
6,1244,terra102pwdz6wmcptd4xc96gauvfxdehqq062zkqqfv,21,32731.0
7,1294,terra102sca9qq0fuu3e4hjz8hfc8c4q7nfrfh5qkrd3,8,16.0
8,1377,terra102wja2kgjj8hl4lpnc8yh2hxzghdt2wr28jynj,13,16.0
9,1414,terra102xrq94nyp8yh2u23c54lvdx82z6dqyedrfduf,27,3200.0
10,1558,terra10355nemgu8xydzhwsm2ace8h97z3ec30zdhwgc,20,7333.0
11,1639,terra103985t7haeeppgeas5lh8ys0zg7dguuqhrxwch,26,240.0
12,1657,terra1039rmnnjk5m44xm42q3wxl2d6ags5y3e5cd4tg,22,930.0
13,1986,terra103q86993pk5hphvd55jy64unw20uupsk4xcsvq,4,670.0
14,2006,terra103qx2q30638mx2knxfqn77padtxtn6cd7wxmqp,2,279.83
15,2081,terra103umwsh8jdumt86zuv5p635h6rmpe3pmfmhfz6,27,15.0
16,2122,terra103vut6832lm7frwyuf8g0he20mv5v5r39t2glc,29,328.0
17,2228,terra1040qra9t5dqqrv435nd7wj7yu4qyq5cmd2fsa5,23,19354.75
18,2241,terra1042cwz2llmk8kp304yn8hkv9ce0gf66cyqgh9r,14,80.0
19,2253,terra1042sgc0w4c38cur3fvz330wux6y8z9zjksy578,24,20.0
20,2384,terra1048gyhzptenxuwt5h4sngddej74vsq0rf300zw,27,8.0
21,2657,terra104nhpgxwsrsek3vyq2qkn4889zykjkwnz87kv4,19,30.0
22,2701,terra104ql4k3d7ssjcr5f4z8r30atfvw2mlhmjkrsp6,22,270.0
23,2804,terra104u8s2d3se2v42ahjuhhkczt23qyvgkat3j26e,30,24.0
24,2823,terra104utlud4jj8sdq5wzslnrhw73qhahmxrjtueyc,17,24.0
25,2859,terra104wkn629zgz7kfgm6n0p9f2cuenywxzm0jvq6n,3,20.0
26,3055,terra10569a3q3q0xuu546m25lp5ec6n4lkx2ls33dsz,4,510.34000000000003
27,3082,terra1057spaae6lcww4lzje25gneztz94cvmtsvjwxq,9,80.0
28,3131,terra105a06ftgdg83uvg3xqwgky5rfldj4592tkd6h6,5,526.0
29,3243,terra105fg0kez29rgefk7d7ecesq74fqjfeukwgjjey,11,8.0
30,3473,terra105sjw5rl74m8hzeth0k4nfdgjl056eygwhqude,30,105.7
31,3598,terra105yafg54nuy5w4dgf7jzfgnzp5r9hsftqevmaw,20,273.75
32,3636,terra105zlvy7hpls8h6f8zlsss7wpwey5etwa6pj2x6,2,48.0
33,3657,terra1060f58al85zwzv2zpuax4l29c660zm60w3nyw6,27,8.0
34,3763,terra10663a0umjnvxxpvxelqnwnnj8zf2vy99lrvwen,13,166.0
35,4100,terra106ly7vf9gs2602zuw7clhkvd6vxv8rra8zlsz8,9,8.0
36,4104,terra106m33az2e73gp5ggaukgat3acfmk0fcxzlefnx,10,1690.0
37,4254,terra106ssh7scfuecv4asaa2tyk2rxzv0rff4tlcr0a,24,8.0
38,4277,terra106thjfvk32wj6j2u0sgch2h7hxssuh3j4qcgya,4,18.0
39,4386,terra106xeplp82km5xl7zk8afrvl84n9ks3hpjjl2pq,30,431.0
40,4411,terra106yv8xst87aecamc4nqvswh9fqk05k7w9n0ymj,20,170.0
41,4480,terra1072q7txl66nc5zfyexe0wk3m6w05jy88arnra4,28,26.0
42,4633,terra107982u9v0dsmgwmkvat8r5u9gahuj9neav3q8k,22,20.0
43,4915,terra107nzzxhpn2wgcyh0qnxm33529p5g7z7crxgh5y,5,551.25
44,5116,terra107wch9qm3r5285xqwkcv2nyux3mfj6m6l3lt9p,26,111.0
45,5204,terra10808lqrhwvd9lk0gjyvsjmhnxzcc4kz6j09tj6,27,46.0
46,5317,terra1085wjp9mkpnc77k0thjah8fzcuc9luff8dqhc6,2,281.51
47,5917,terra108y8w9rd58nm3xcwa3ky3gj98pw9nf2ktf3pxw,27,474.0
48,6012,terra10930hmsl3xglm887khc0gxqs7gz2nhsmanz7fq,4,481.0
49,6127,terra1097hd9x9w9ffm2qer5tmugfd6r4g6ku6yapra7,24,30.0
50,6133,terra1097s4u7h09724597uxyz70uhtxvc089wtl96lz,19,71.0
51,6204,terra109cj7tufqzwpuj8pj54m9s2r6l5lgw8hhx8nhg,25,32.0
52,6302,terra109gjjdavqcyjcc8ceptu3ghzdtnwydyjs565ju,21,22.0
53,6408,terra109mjlzrgvtmllphfedm7v8wy7yvgr5e0zkukra,30,39.0
54,6419,terra109myrrdrmvqy9mn252wxm0pqxkg2et8kx34z5v,14,18.0
55,6620,terra109w54lxfpgckth4gq3knral2c8ay49mxjyj7yp,24,56.0
56,6870,terra10a7gf76534vnlghvvs9en25z8jd3d7p7rp0u9c,10,454.0
57,7258,terra10aspf7gujs9mh5d8l4pus3hzkrpz5nfqalz04x,7,41.0
58,7298,terra10auk5yc7fygueq3nr7jfnugwyngt0m9mrwp08e,13,8.0
59,7409,terra10ayza8x0wssgt5nghw5xx0slttjguchaxfz4dn,7,57.0
60,7497,terra10c3eeuk25lnaj9ga3y3aqxc3tn5cprmg9dxp8a,27,416.0
61,7521,terra10c4a7n838ms8ztm07lagywx9s0qfc4dv4lmprt,3,416.0
62,7564,terra10c69revfrvks73700rctehzn6694r78y8uc006,18,10.0
63,7734,terra10ce3664e52thvut6ytd0ctma59v0t9yfjtwyfz,29,8.0
64,7759,terra10cfalfg0ygevam7c9mvdavcmxt7wqmmqrgy9xp,30,217.0
65,7898,terra10cmez52kc8jhjguvnk90zu4l85w4ympj0yg8ux,7,8.1
66,8171,terra10czjg8ynwjshxsn64eh80hfq2kf3txtna6ndt8,27,27.5
67,8176,terra10czrqez0yqaf348hm7q8g897ugyn5r5r2s8lgg,11,39.0
68,8303,terra10d64rrfr7rj7f3punrhcm8svf3fnsc9sqc9fac,24,208.0
69,8361,terra10d947wn4z7wynznqr040m4nwhng70x8k8xpnn7,8,8.0
70,8365,terra10d98pj46s47mkqyvmfqx3yfzarxv9p3vlh83zu,9,8.0
71,8404,terra10daty845flyvzl29uvsh4pwcnc4ff99fj77q55,30,3200.0
72,8407,terra10dawxjdvl5v36fzn84t9p4gh7u7ly5vmqwxdkh,26,850.0
73,8497,terra10df60ysnfmsvu4ea0esyc2p38y5auf5zsjgk44,3,27.41
74,8790,terra10duczj5h32m363ar7slt7tdhc0u0tsu9xr5hnf,30,449.0
75,8888,terra10dyrjurndzhp50n7qsg7s4ftk5wja23ppl56n3,2,209.0
76,8926,terra10e0lnartjgxlmuldpg5c02jlumpdjglwhjldnp,8,10.0
77,9372,terra10elu6pj2umvfnc8pe309umrtql3p4ggvz6kdta,2,313.0
78,9432,terra10epul476m7wufraudp0rpxrfsy5kc9mzqanyt3,24,611.0
79,9522,terra10etnul23edrmvl2r9mgshzjsyl03dad9u4xkcm,6,8.0
80,9646,terra10eyxd6p98dtlryzuplmj44d59mc05usuy8ya9v,30,152.0
81,9648,terra10eyyzfp6r62fxelzgf25k2sev6ykr2se3gt65x,13,28.9
82,9699,terra10f0rvrpqy08vl0e76yjujahtpmz3wqutsh5n7d,7,678.0
83,9896,terra10facy7vmjc64uf5gqfvxzwgj5knvylw5k9uv7g,30,167.0
84,9978,terra10feh3nsr7kvv9upn9mqzkupr2e82j9zy80lsxc,1,20.0
85,10040,terra10fh4yugfcssjn0u9q75xvzun0uxa7a2a8n942p,19,197.0
86,10381,terra10fyrywt75ps3wj0ssdxm8sgm6tgkgtylm9sv26,23,112.0
87,10705,terra10gf2ya25ens0ka3v6wgq0epmxeykv8mrccueda,18,8.0
88,10788,terra10gjxd65n99n8jf7jy2fk28c2g3rxfddu2lr0rt,4,96.0
89,10957,terra10gsnxrjs3ylaf9mvf408nx8spuhrjamuq5g47u,1,203.06
90,11207,terra10h4cm2yqwx0vle295n9zr4jkr2cvxva93ku7p6,10,9.0
91,11274,terra10h6q6unjxngdxx6tadtwhzstvax80v6lxelyvf,15,16.0
92,11473,terra10hflg36senj6dcv9gxajtyfj7ku99mrc6azcs3,10,16.0
93,11593,terra10hm3cvculpr227e79f3tz9upxc77l78fshzfq2,2,161.66
94,11634,terra10hnwentn5jv2ckgxzvn3ujflyu63ky7j2ax8h0,24,215.0
95,11698,terra10hryzctz898clsrm802kknyj4l6kayuaelr0lu,27,226.0
96,11858,terra10hyqtxhl42ezqj07y9ymsvd0shf90766007fqz,21,379.0
97,11931,terra10j2ymt4pdpqslfw4ssgnamm6dmnjcmwg790k3f,13,8.0
98,11990,terra10j65tl4tcftq98w6c9zs8eksgel2tu87vslld4,29,1600.0
99,12079,terra10ja5cguysvsyza9zdd5zsvlwx0dwe9yr9le356,24,347.0
100,12084,terra10jaevevsrq9avy9xykwj0texyn63x7fw9z73kq,1,175.0
101,12331,terra10jn9jng7lah478zrw24wqkwv8xsm78268tdcj9,7,8.0
102,12462,terra10jtpd5xg2p5nllncdt5zrj4m4rqpndtgtmg5m2,4,40.0
103,12609,terra10jzuadndq8lujezn4jz59scjql5tjychzv4a9q,15,32.5
104,12646,terra10k29sv63uyhlcgyvetqnava8r9mx7847f83z6w,25,270.0
105,12918,terra10kelc3zsx508pwvesjz5hngsjz4q034hm3v8fg,2,1417.4199999999998
106,13012,terra10kjtfk97jg0eue3z9mafquffe5q4ty8q7m9wdd,21,60.0
107,13079,terra10kmr23va9jn4zw8tkqfal7w6ng8wkgvwk3crpq,25,205.0
108,13109,terra10kp5m8k98u7jza8959dz9eak4yukc5gphudxf3,21,125.0
109,13275,terra10kv5d40ftd5x5h23dhkw0yg4qy2zs7xgd69ky7,17,50.0
110,13299,terra10kwedtssggnhmdpm84wcdy794k0nhuaq53drwq,19,28.0
111,13317,terra10kwwrcvzwwut0lstwd48nkxg5674dz9u4m2n2v,27,71.0
112,13373,terra10kz6jgnx2qzamemwezd8lz7c4z0et5mdhg8t0l,14,8.0
113,13432,terra10l2zzuey3qkczptu3juxuwwlrznplws25zhsnh,23,8.0
114,13568,terra10l8q789xp87gqaqh9nmllzkfey6h0a5lke6nkg,4,45.0
115,13590,terra10l9g9kvnhrmc4nyn8apel0d4esa24fchfnquw9,24,9.0
